Element Short Name,Type,Vocabulary,Code
WMOQualitySatellite,Broader,MEDS PCODE,GGST
WMOSalinityDepthMeasurementMethod,Exact,WMO Codes,FM64-X: k2
WMOSalinityDepthMeasurementMethod,Exact,BUFR v4,B02033
WMOSalinityDepthMeasurementMethod,Exact,MEDS PCODE,GGSL
WMOSatelliteIdentifier,Exact,BUFR v4,B01007
WMOSpectralWaveMethod,Exact,BUFR v4,B02044
WMOStationType,Exact,BUFR v4,B02001
WMOTemperatureSalinityMeasurementMethod,Exact,BUFR v4,B02038
WMOTemperatureSalinityQualifier,Exact,BUFR v4,B08034
WMOWetBulbMeasurementMethod,Exact,BUFR v4,B02039
WMOWindInstrumentType,Exact,WMO Codes,FM18-XII: An
WMOWindInstrumentType,Exact,WMO Codes,FM63-XI: iu
WMOWindInstrumentType,Exact,WMO Codes,FM64-X: iu
WMOWindInstrumentType,Exact,BUFR v4,B02002
WMOWindInstrumentType,Exact,MEDS PCODE,GGWI
WMOWindInstrumentType,Exact,MEDS PCODE,ANT%24
WMOXBTType,Exact,BUFR v4,B22178
WaveAveragePeriod,Exact,BUFR v4,B22074
WaveDirection,Exact,BUFR v4,B22186
WaveDominantDirection,Exact,BUFR v4,B22076
WaveDominantSpread,Exact,BUFR v4,B22077
WaveHeight,Exact,WMO Codes,FM18-XII: Hwa Hwa
WaveHeight,Exact,WMO Codes,FM18-XII: Hwa Hwa Hwa
WaveHeight,Exact,BUFR v4,B22021
WaveMaximumHeight,Exact,BUFR v4,B22073
WaveMeanDirection,Exact,BUFR v4,B22086
WavePeriod,Exact,WMO Codes,FM18-XII: Pwa Pwa
WavePeriod,Exact,WMO Codes,FM18-XII: Pwa Pwa Pwa
WavePeriod,Exact,BUFR v4,B22011
WavePrincipalDirection,Exact,BUFR v4,B22087
WaveSamplingTime,Exact,BUFR v4,B25043
WaveSensor,Exact,BUFR v4,B02046
WaveSignificantHeight,Exact,BUFR v4,B22070
WaveSpread,Exact,BUFR v4,B22187
WetBulbTemperature,Exact,MEDS PCODE,WETT
WetBulbTemperature,Exact,BUFR v4,B12102
WindDirection,Exact,WMO Codes,FM18-XII: d d
WindDirection,Exact,WMO Codes,FM63-XI: d d
WindDirection,Exact,WMO Codes,FM64-X: dd
WindDirection,Exact,BUFR v4,B11001
WindDirection,Exact,MEDS PCODE,WDIR
WindGustMaxDirection,Exact,BUFR v4,B11043
WindGustMaxDirection,Exact,MEDS PCODE,GDIR
WindGustMaxSpeed,Exact,BUFR v4,B11041
WindGustMaxSpeed,Exact,MEDS PCODE,GSPD
WindSpeed,Exact,WMO Codes,FM18-XII: f f
WindSpeed,Exact,WMO Codes,FM63-XI: f f
WindSpeed,Exact,WMO Codes,FM64-X: f f
WindSpeed,Exact,BUFR v4,B11002
WindSpeed,Exact,MEDS PCODE,WSPD
XBTHeight,Exact,BUFR v4,B22177
XBTHeight,Exact,MEDS PCODE,HTL%24
